Mass 1: 5.044511E12 kg
Diameter 1: 8.0912695 m
Mass 2: 4.968899E12 kg
Diameter 2: 8.010815 m

Time (s)	Distance (m)	Gravitational Force (MN)
5.06		292.63		19218.94
5.08		292.57		19227.40
5.08		292.50		19235.88
5.09		292.44		19244.40
5.10		292.37		19252.93
5.11		292.31		19261.52
5.12		292.24		19270.13
5.13		292.18		19278.77
5.14		292.11		19287.42
5.14		292.05		19296.10
5.15		291.98		19304.80
5.16		291.91		19313.52
5.17		291.85		19322.27
5.18		291.78		19331.03
5.19		291.71		19339.82
5.19		291.65		19348.63
5.20		291.58		19357.48
5.21		291.51		19366.34
5.22		291.45		19375.24
5.22		291.38		19384.16
5.24		291.31		19392.94
5.24		291.25		19401.28
5.25		291.19		19409.20
5.26		291.14		19416.83
5.27		291.08		19424.42
5.27		291.02		19432.01
5.29		290.96		19439.67
5.29		290.91		19447.33
5.30		290.85		19455.06
5.30		290.79		19462.80
5.32		290.73		19470.61
5.33		290.67		19478.45
5.34		290.62		19486.31
5.34		290.56		19494.20
5.35		290.50		19502.11
5.36		290.44		19510.06
5.37		290.38		19518.02
5.38		290.32		19526.01
5.38		290.26		19534.02
5.39		290.20		19542.07
5.40		290.14		19550.13
5.41		290.08		19558.24
5.42		290.02		19566.36
5.43		289.96		19574.53
5.43		289.90		19582.71
5.44		289.84		19590.94
5.45		289.78		19599.19
5.46		289.72		19607.50
5.46		289.66		19615.81
5.48		289.59		19624.20
5.48		289.53		19632.60
5.49		289.47		19641.08
5.50		289.41		19649.56
5.51		289.34		19658.13
5.52		289.28		19666.73
5.53		289.22		19675.36
5.54		289.15		19684.02
5.54		289.09		19692.71
5.55		289.03		19701.43
5.56		288.96		19710.18
5.57		288.90		19718.97
5.58		288.83		19727.78
5.59		288.77		19736.64
5.59		288.70		19745.52
5.60		288.64		19754.45
5.61		288.57		19763.39
5.62		288.51		19772.40
5.62		288.44		19781.42
5.64		288.37		19790.50
5.64		288.31		19799.60
5.65		288.24		19808.78
5.66		288.17		19817.96
5.67		288.11		19827.23
5.67		288.04		19836.50
5.69		287.97		19845.86
5.69		287.90		19855.23
5.70		287.84		19864.70
5.70		287.77		19874.17
5.72		287.70		19883.75
5.73		287.63		19893.36
5.74		287.56		19903.00
5.74		287.49		19912.68
5.75		287.42		19922.39
5.76		287.35		19932.14
5.77		287.28		19941.91
5.78		287.21		19951.73
5.78		287.14		19961.57
5.79		287.06		19971.46
5.80		286.99		19981.36
5.81		286.92		19991.33
5.82		286.85		20001.30
5.83		286.78		20011.34
5.83		286.71		20021.38
5.84		286.63		20031.49
5.85		286.56		20041.61
5.86		286.49		20051.80
5.86		286.42		20062.00
5.88		286.34		20072.28
5.88		286.27		20082.56
5.89		286.20		20092.92
5.90		286.12		20103.29
5.91		286.05		20113.67
5.91		285.98		20123.87
5.93		285.90		20133.93
5.94		285.83		20143.87
5.94		285.76		20153.79
5.95		285.69		20163.73
5.96		285.62		20173.71
5.97		285.55		20183.71
5.98		285.48		20193.74
5.99		285.41		20203.81
5.99		285.34		20213.90
6.00		285.27		20224.04
6.01		285.19		20234.19
6.02		285.12		20244.39
6.02		285.05		20254.60
6.04		284.98		20264.88
6.04		284.91		20275.16
6.05		284.83		20285.51
6.06		284.76		20295.87
6.07		284.69		20306.30
6.08		284.61		20316.82
6.09		284.54		20327.35
6.10		284.47		20337.96
6.11		284.39		20348.60
