Mass: 5.082878E12 kg
Diameter: 8.279641 m

Time (s)	Acceleration (m/s²)	Velocity (m/s)	Position (m, m)		Forces felt (MN)
2.17		0.87			2.93		(662.14, 90.89)		4314443.75
2.18		0.87			1.98		(662.14, 90.91)		4315926.87
2.18		0.87			3.28		(662.14, 90.93)		4317416.55
2.19		0.87			1.86		(662.14, 90.95)		4318925.26
2.20		0.87			3.71		(662.14, 90.97)		4320439.23
2.21		0.87			1.77		(662.14, 90.99)		4321974.21
2.22		0.87			4.33		(662.14, 91.01)		4323512.28
2.23		0.87			1.66		(662.14, 91.03)		4325073.28
2.23		0.87			4.48		(662.14, 91.05)		4326636.15
2.24		0.87			1.66		(662.15, 91.07)		4328221.73
2.25		0.87			6.21		(662.15, 91.09)		4329806.92
2.26		0.87			1.52		(662.15, 91.11)		4331419.60
2.26		0.87			8.28		(662.15, 91.13)		4333030.46
2.28		0.87			1.45		(662.15, 91.15)		4334672.16
2.28		0.87			8.38		(662.15, 91.17)		4336311.38
2.29		0.87			1.46		(662.15, 91.20)		4337981.09
2.30		0.88			11.33		(662.15, 91.22)		4339647.11
2.31		0.88			1.41		(662.15, 91.24)		4341346.37
2.31		0.88			19.00		(662.15, 91.26)		4343040.89
2.33		0.88			1.37		(662.15, 91.28)		4344771.82
2.34		0.88			2.55		(662.15, 91.30)		4346509.37
2.34		0.88			2.86		(662.15, 91.32)		4348250.82
2.35		0.88			2.30		(662.15, 91.34)		4350001.29
2.36		0.88			3.01		(662.15, 91.36)		4351755.28
2.37		0.88			2.26		(662.15, 91.39)		4353518.87
2.38		0.88			3.31		(662.15, 91.41)		4355282.61
2.39		0.88			2.13		(662.15, 91.43)		4357057.27
2.39		0.88			3.69		(662.15, 91.45)		4358829.14
2.40		0.88			2.01		(662.16, 91.47)		4360613.76
2.41		0.88			4.16		(662.16, 91.49)		4362394.95
2.42		0.88			1.91		(662.16, 91.52)		4364191.49
2.42		0.88			4.94		(662.16, 91.54)		4365982.70
2.44		0.88			1.81		(662.16, 91.56)		4367792.14
2.44		0.88			5.78		(662.16, 91.58)		4369594.87
2.45		0.88			1.73		(662.16, 91.60)		4371418.68
2.46		0.88			7.03		(662.16, 91.63)		4373234.58
2.47		0.88			1.66		(662.16, 91.65)		4375074.61
2.47		0.88			8.87		(662.16, 91.67)		4376905.47
2.49		0.88			1.59		(662.16, 91.69)		4378763.98
2.49		0.88			12.38		(662.16, 91.72)		4380612.60
2.50		0.88			1.53		(662.16, 91.74)		4382493.02
2.50		0.88			18.65		(662.16, 91.76)		4384363.38
2.52		0.88			1.49		(662.17, 91.78)		4386269.05
2.53		0.89			2.74		(662.17, 91.81)		4388178.28
2.54		0.89			2.79		(662.17, 91.83)		4390090.78
2.54		0.89			2.75		(662.17, 91.85)		4392007.32
2.55		0.89			3.26		(662.17, 91.88)		4393924.00
2.56		0.89			2.43		(662.17, 91.90)		4395848.98
2.57		0.89			3.58		(662.17, 91.92)		4397772.46
2.58		0.89			2.30		(662.17, 91.95)		4399706.75
2.58		0.89			4.01		(662.17, 91.97)		4401638.22
2.59		0.89			2.17		(662.17, 91.99)		4403584.09
2.60		0.89			4.61		(662.17, 92.02)		4405526.14
2.61		0.89			2.06		(662.18, 92.04)		4407486.54
2.62		0.89			5.20		(662.18, 92.06)		4409442.72
2.63		0.89			1.95		(662.18, 92.09)		4411421.60
2.63		0.89			6.21		(662.18, 92.11)		4413395.75
2.64		0.89			1.86		(662.18, 92.14)		4415397.48
2.65		0.89			7.64		(662.18, 92.16)		4417394.37
2.66		0.89			1.80		(662.18, 92.18)		4419423.11
2.66		0.89			9.54		(662.18, 92.21)		4421447.47
2.68		0.89			1.71		(662.18, 92.23)		4423510.05
2.68		0.89			9.83		(662.18, 92.26)		4425569.59
2.69		0.89			1.73		(662.19, 92.28)		4427668.90
2.70		0.89			18.44		(662.19, 92.31)		4429765.81
2.71		0.89			1.62		(662.19, 92.33)		4431912.35
2.71		0.89			19.43		(662.19, 92.36)		4434058.32
2.73		0.89			1.61		(662.19, 92.38)		4436257.60
2.74		0.90			3.00		(662.19, 92.40)		4438473.70
2.74		0.90			3.34		(662.19, 92.43)		4440704.74
2.75		0.90			2.71		(662.19, 92.45)		4442958.67
2.76		0.90			3.38		(662.19, 92.48)		4445229.70
2.77		0.90			2.74		(662.20, 92.51)		4447525.82
2.78		0.90			3.70		(662.20, 92.53)		4449839.58
